"Id","SalePrice"
1461,127097.625
1462,162872.703125
1463,185697.484375
1464,187500.609375
1465,187619.8125
1466,177523.4375
1467,183052.671875
1468,167895.203125
1469,191988.171875
1470,126858.921875
1471,197848.828125
1472,94989.796875
1473,97132.6171875
1474,155332.84375
1475,121644.8046875
1476,360186.21875
1477,260122.484375
1478,279799.75
1479,251345.390625
1480,503261.03125
1481,363955.90625
1482,199791.984375
1483,173177.984375
1484,165181.734375
1485,177704.203125
1486,191513.796875
1487,338786.65625
1488,238916.671875
1489,203574.65625
1490,217810.265625
1491,186334.578125
1492,84537.5390625
1493,196510.171875
1494,291548.40625
1495,303795.15625
1496,230365.96875
1497,179762.84375
1498,162150.046875
1499,161105.8125
1500,159312.5
1501,167730.484375
1502,148621.203125
1503,241811.671875
1504,254749.40625
1505,224328.421875
1506,179432.640625
1507,264419.25
1508,203627.71875
1509,155767.828125
1510,145589.640625
1511,139629.84375
1512,165666.859375
1513,144479.75
1514,182092.140625
1515,193657.296875
1516,159263.65625
1517,162302.46875
1518,132486.609375
1519,226917.9375
1520,133838.5
1521,133585.4375
1522,162321.3125
1523,115770.828125
1524,124431.0390625
1525,123042.8125
1526,119666.296875
1527,107679.8984375
1528,134765.578125
1529,151934.5625
1530,178525.359375
1531,106576.765625
1532,105075.2890625
1533,143720.125
1534,118150.3671875
1535,161235.328125
1536,111709.53125
1537,65852.390625
1538,171291.375
1539,186607.265625
1540,95507.5546875
1541,140838.3125
1542,137563.984375
1543,232740.15625
1544,72235.1328125
1545,114020.6328125
1546,128482.515625
1547,133886.140625
1548,138463.953125
1549,117894.7734375
1550,136446.8125
1551,112064.8359375
1552,136338.703125
1553,153051.046875
1554,112118.4296875
1555,167971.890625
1556,81598.0703125
1557,114351.6171875
1558,95576.9921875
1559,94616.8984375
1560,143270.796875
1561,148148.15625
1562,129333.46875
1563,126062.5546875
1564,153107.8125
1565,138495.09375
1566,228317.046875
1567,68947.015625
1568,226725.28125
1569,152202.3125
1570,137172.203125
1571,120538.9453125
1572,148780.796875
1573,245214.390625
1574,115928.453125
1575,216491.1875
1576,227744.734375
1577,189934.234375
1578,148940.625
1579,140103.484375
1580,191941.5625
1581,159031.890625
1582,130761.7890625
1583,340283.78125
1584,230969.3125
1585,140223.640625
1586,73183.71875
1587,99807.34375
1588,150261.78125
1589,97833.3046875
1590,136681.265625
1591,96814.8515625
1592,124029.4375
1593,134147.15625
1594,134205.359375
1595,112409.109375
1596,253791.796875
1597,203674.796875
1598,203438.71875
1599,186437.078125
1600,171997.734375
1601,74082.6328125
1602,112752.7109375
1603,85577.1015625
1604,267460.0625
1605,247763.015625
1606,173825.890625
1607,149424.1875
1608,212960.796875
1609,186819.53125
1610,155187.703125
1611,138190.5625
1612,165067.96875
1613,166612.734375
1614,132758.125
1615,89241.8984375
1616,70934.6953125
1617,92254.0390625
1618,128216.7734375
1619,133988.109375
1620,169874.203125
1621,135828.609375
1622,137274.359375
1623,313344.6875
1624,209002.71875
1625,125917.921875
1626,161387.609375
1627,184642.84375
1628,267962.65625
1629,171820.375
1630,360926.5625
1631,236052.203125
1632,256854.296875
1633,173388.9375
1634,187438.90625
1635,182907.203125
1636,154924.109375
1637,194704.5625
1638,197980.875
1639,176998.609375
1640,266732.34375
1641,171208.9375
1642,225792.21875
1643,230872.75
1644,244603.421875
1645,192727.15625
1646,158649.28125
1647,156388.15625
1648,136203.296875
1649,138006.171875
1650,119939.2578125
1651,117571.4296875
1652,96482
1653,97835
1654,151286.671875
1655,145054.203125
1656,150428.28125
1657,153305.78125
1658,150235.40625
1659,123426.546875
1660,147296.5625
1661,458764.75
1662,418201.71875
1663,394470.96875
1664,487968.40625
1665,299752.46875
1666,340938.4375
1667,355584.09375
1668,330328.0625
1669,289654.1875
1670,333403.53125
1671,275742.8125
1672,499768.9375
1673,296812.4375
1674,250358.609375
1675,192109.84375
1676,194515.515625
1677,221067.578125
1678,496821.25
1679,415464.5
1680,343418.21875
1681,234071.765625
1682,300923.125
1683,183369.734375
1684,169277.640625
1685,170099.484375
1686,164667.015625
1687,169064.578125
1688,183576.9375
1689,185248.484375
1690,185454.875
1691,177128.765625
1692,255392.234375
1693,166934.890625
1694,186592.375
1695,165279.65625
1696,281480
